iter	Logloss
0	0.6783873821
1	0.6652655016
2	0.6497421563
3	0.6350108428
4	0.621597283
5	0.6100674203
6	0.5996249904
7	0.590742486
8	0.582146175
9	0.5749019629
10	0.5682295692
11	0.5626783357
12	0.5573448341
13	0.5523426686
14	0.5478883882
15	0.5437253861
16	0.5396231111
17	0.5364372064
18	0.5332032273
19	0.5302109655
20	0.5272361989
21	0.5247211145
22	0.5224541087
23	0.5202122595
24	0.5181006728
25	0.5160551605
26	0.5144104523
27	0.5126650529
28	0.5111588852
29	0.5092655533
30	0.5076311371
31	0.50616905
32	0.5049970271
33	0.5038552256
34	0.5029061098
35	0.5015709688
36	0.5004628097
37	0.498950035
38	0.4975467991
39	0.4964774533
40	0.4952183448
41	0.4944293727
42	0.4936194016
43	0.4930055763
44	0.4921017568
45	0.4909604256
46	0.4903582924
47	0.4896764961
48	0.4890572314
49	0.4883770699
50	0.4873397483
51	0.4867168765
52	0.4861556275
53	0.4854923246
54	0.4848779105
55	0.4842424294
56	0.4836860916
57	0.4831938202
58	0.4827367695
59	0.4822301838
60	0.4815962357
61	0.481215163
62	0.4808782726
63	0.480429188
64	0.480029804
65	0.4796048365
66	0.4792855011
67	0.478864194
68	0.4783881757
69	0.4779580172
70	0.4775041038
71	0.4771171117
72	0.4767617424
73	0.4763833575
74	0.4760870559
75	0.4756748933
76	0.475470112
77	0.475217445
78	0.4749926011
79	0.4746933091
80	0.4744038174
81	0.4742015438
82	0.4739869544
83	0.4737589218
84	0.4734562286
85	0.4732489413
86	0.4729308143
87	0.4727126889
88	0.4723068469
89	0.4720481374
90	0.4718498468
91	0.4716237667
92	0.4714310416
93	0.4712898528
94	0.4710799118
95	0.4709136583
96	0.4707934087
97	0.4706004697
98	0.4704700492
99	0.4702942069
100	0.4700801841
101	0.4699024577
102	0.4697600721
103	0.4696106511
104	0.4694583309
105	0.4691551785
106	0.4690475458
107	0.4688916529
108	0.4687697995
109	0.4686707963
110	0.4685601983
111	0.4684690436
112	0.4683211301
113	0.4681855234
114	0.4679132904
115	0.4678026722
116	0.4676620736
117	0.4675158105
118	0.4674042328
119	0.467169517
120	0.4670591299
121	0.4668432395
122	0.4667461262
123	0.4666408039
124	0.4665054241
125	0.4664177431
126	0.4662955461
127	0.4661894532
128	0.4659489956
129	0.4658546394
130	0.4657704912
131	0.4656808138
132	0.4655961828
133	0.4654895577
134	0.4654204926
135	0.4653285859
136	0.4652439343
137	0.4651429782
138	0.4650627224
139	0.4649983418
140	0.4649256002
141	0.4647547627
142	0.4646918731
143	0.464612125
144	0.4645019954
145	0.4644163938
146	0.4642658538
147	0.4641801397
148	0.4640562716
149	0.4639837433
150	0.4639123451
151	0.4638617903
152	0.4637945636
153	0.4637349401
154	0.4635995357
155	0.4635292933
156	0.4634632819
157	0.4633291076
158	0.463270317
159	0.463184432
160	0.4631045508
161	0.4630343359
162	0.4629774304
163	0.4629294485
164	0.4628603171
165	0.4627878678
166	0.4626722583
167	0.4626264141
168	0.4625798589
169	0.4625092676
170	0.4624659294
171	0.4623952211
172	0.4623401517
173	0.4622883836
174	0.4622359278
175	0.4621251869
176	0.4620667287
177	0.4620075346
178	0.4619510802
179	0.4618918119
180	0.4618304635
181	0.4617743821
182	0.461706257
183	0.46163219
184	0.461589375
185	0.4615315479
186	0.4614893547
187	0.4614443405
188	0.4613925345
189	0.4613549352
190	0.4612742371
191	0.4612279015
192	0.4611778284
193	0.4611451586
194	0.4610928711
195	0.4610082007
196	0.460945814
197	0.460885615
198	0.4608430973
199	0.4607885562
200	0.4606603855
201	0.4605995682
202	0.460574124
203	0.4605012597
204	0.4604498032
205	0.4603806238
206	0.4603336594
207	0.4602832862
208	0.4602438813
209	0.4602103743
210	0.4601574822
211	0.4601141768
212	0.4600707052
213	0.4600301364
214	0.4599811712
215	0.4599397596
216	0.4598767905
217	0.4598370413
218	0.4597361112
219	0.4596643528
220	0.4596221375
221	0.4595603936
222	0.4594811384
223	0.459431189
224	0.4593998045
225	0.4593496943
