iter	Passed	Remaining
0	1991	1591142
1	3224	1286710
2	4863	1292094
3	6358	1265353
4	7709	1225816
5	8997	1190723
6	10161	1151198
7	11252	1114012
8	12674	1113948
9	13875	1096158
10	15191	1089662
11	16459	1080835
12	17533	1061439
13	18908	1061551
14	20401	1067668
15	21899	1073071
16	23557	1085045
17	24922	1082736
18	26519	1090092
19	28054	1094138
20	29621	1098806
21	31094	1099608
22	32123	1085206
23	33536	1084361
24	34949	1083449
25	36558	1088305
26	38053	1089453
27	39234	1081743
28	40931	1088222
29	42379	1087751
30	44029	1092214
31	45478	1091485
32	47189	1096786
33	48829	1100105
34	50339	1100266
35	51677	1096719
36	53389	1100984
37	54798	1098846
38	55986	1092452
39	57258	1087916
40	58694	1086572
41	60258	1087520
42	61826	1088433
43	63497	1090993
44	64965	1089972
45	66280	1086429
46	67915	1088087
47	69432	1087778
48	70740	1084203
49	72403	1086052
50	73765	1083335
51	75215	1081944
52	76701	1081062
53	78169	1079893
54	79467	1076423
55	80741	1072706
56	82135	1070639
57	83382	1066724
58	84739	1064268
59	86176	1062842
60	87541	1060546
61	88778	1056752
62	90248	1055766
63	91893	1056774
64	93542	1057754
65	94636	1052471
66	96228	1052771
67	97761	1052377
68	99443	1053527
69	100814	1051348
70	102467	1052095
71	104827	1059926
72	106601	1061632
73	108220	1061728
74	109833	1061726
75	111294	1060226
76	113176	1062686
77	115109	1065502
78	116873	1066659
79	118792	1069136
80	120430	1069010
81	122234	1070301
82	123634	1068024
83	125099	1066321
84	126778	1066433
85	128402	1066035
86	130065	1065941
87	131460	1063638
88	132910	1061790
89	134313	1059585
90	135463	1055427
91	136445	1050035
92	137989	1049020
93	139721	1049394
94	141189	1047772
95	142529	1045219
96	143787	1042088
97	145267	1040586
98	146894	1040129
99	148259	1037818
100	149855	1037120
101	151145	1034306
102	152318	1030741
103	153629	1028137
104	154777	1024480
105	156041	1021628
106	157475	1019910
107	158958	1018510
108	160343	1016490
109	161415	1012516
110	162720	1010036
111	164043	1007694
112	165544	1006451
113	166916	1004425
114	168284	1002387
115	169720	1000765
116	171155	999141
117	172679	998031
118	173980	995638
119	175165	992605
120	176533	990629
121	177747	987808
122	178807	984165
123	180023	981420
124	181434	979745
125	182792	977792
126	184114	975661
127	185484	973795
128	186777	971533
129	188120	969546
130	189243	966439
131	190562	964361
132	191919	962485
133	193490	961678
134	194935	960235
135	196229	958059
136	197665	956583
137	199132	955260
138	200438	953165
139	201901	951819
140	203007	948806
141	204526	947736
142	205835	945693
143	206960	942821
144	208171	940361
145	209255	937350
146	210609	935565
147	211902	933517
148	213262	931771
149	214824	930905
150	216341	929838
151	217731	928224
152	218766	925110
153	220011	922907
154	221486	921671
155	222944	920359
156	224292	918601
157	225648	916875
158	227009	915175
159	228500	914000
160	229860	912304
161	231116	910199
162	232179	907352
163	233708	906332
164	235012	904442
165	235941	901124
166	237162	898944
167	238483	897151
168	239961	895949
169	241158	893703
170	242343	891426
171	243733	889911
172	245079	888235
173	246191	885722
174	247441	883719
175	248823	882191
176	249648	878705
177	250755	876235
178	252106	874627
179	253432	872934
180	254674	870960
181	256066	869502
182	257421	867919
183	258865	866636
184	260206	865009
185	261713	863937
186	263088	862422
187	264050	859568
188	265135	857130
189	266508	855632
190	267827	853964
191	269189	852434
192	270903	852011
193	272663	851721
194	274327	851118
195	276195	851132
196	277474	849324
197	279026	848351
198	280347	846677
199	281885	845656
200	283630	845247
201	285156	844176
202	286754	843312
203	288090	841674
204	289764	841023
205	291363	840144
206	292383	837601
207	293892	836462
208	294968	834098
209	296241	832298
210	297375	830115
211	298648	828327
212	300192	827291
213	301584	825834
214	302641	823465
215	304060	822090
216	305758	821462
217	306982	819558
218	308234	817735
219	309253	815304
220	310446	813343
221	311476	810961
222	312696	809084
223	314116	807728
224	315283	805724
225	316301	803349
226	317530	801520
227	318888	800019
228	320235	798490
229	321688	797227
230	323160	796010
231	324382	794177
232	326007	793331
233	327312	791703
234	328580	789990
235	329892	788386
236	331074	786477
237	332361	784820
238	333734	783367
239	335057	781800
240	336339	780140
241	337412	778000
242	338628	776198
243	340097	774975
244	341459	773509
245	342839	772086
246	344371	771001
247	345848	769792
248	347119	768124
249	348410	766503
250	349558	764571
251	350800	762852
252	352110	761281
253	353582	760062
254	354975	758673
255	356230	756989
256	357815	756006
257	358927	754026
258	360149	752281
259	361620	751057
260	363136	749926
261	364864	749225
262	366374	748073
263	367884	746917
264	369143	745251
265	370657	744102
266	372029	742665
267	373342	741113
268	375089	740418
269	376662	739374
270	377941	737752
271	379743	737149
272	381320	736102
273	382885	735028
274	384344	733749
275	386145	733116
276	387544	731717
277	389186	730774
278	390918	729994
279	392224	728417
280	393614	726996
281	394837	725269
282	396103	723623
283	397794	722752
284	398915	720847
285	400177	719199
286	401190	717111
287	402446	715460
288	403880	714128
289	405391	712929
290	407021	711938
291	408615	710879
292	410082	709596
293	411913	708940
294	413196	707336
295	414777	706241
296	416424	705257
297	418088	704297
298	419604	703082
299	421079	701799
300	422480	700391
301	424034	699236
302	425475	697892
303	426398	695702
304	427456	693740
305	428659	692018
306	430048	690599
307	431613	689459
308	432946	687951
309	434464	686733
310	435738	685132
311	436593	682877
312	438051	681568
313	439280	679904
314	440244	677837
315	441696	676522
316	442948	674902
317	444482	673712
318	445759	672133
319	447051	670577
320	448595	669399
321	449739	667625
322	451196	666317
323	452666	665028
324	454078	663653
325	455436	662199
326	456756	660690
327	458073	659179
328	459752	658186
329	460890	656420
330	462358	655124
331	463854	653866
332	465147	652323
333	466406	650734
334	467680	649167
335	469061	647752
336	470352	646211
337	471588	644597
338	473028	643262
339	474462	641919
340	475804	640451
341	477113	638941
342	478546	637597
343	479812	636030
344	481134	634540
345	482465	633061
346	483573	631292
347	485164	630155
348	486638	628865
349	487976	627398
350	489464	626124
351	491028	624945
352	492400	623521
353	494019	622408
354	495552	621185
355	496948	619790
356	498234	618257
357	499734	616990
358	501084	615537
359	502690	614399
360	504419	613408
361	506018	612253
362	507374	610806
363	508815	609459
364	510160	608000
365	511690	606758
366	513443	605779
367	514983	604545
368	516393	603159
369	517949	601941
370	519454	600663
371	520892	599306
372	522391	598018
373	524061	596925
374	525694	595787
375	527368	594692
376	529136	593699
377	530160	591872
378	532024	590982
379	533444	589597
380	534964	588320
381	536530	587093
382	538250	586032
383	539768	584749
384	541549	583747
385	543075	582469
386	544754	581353
387	546204	579990
388	547775	578754
389	549292	577461
390	550542	575887
391	551751	574272
392	553446	573161
393	554617	571509
394	555788	569858
395	557320	568579
396	558896	567343
397	560400	566032
398	561907	564724
399	563292	563292
400	564888	562071
401	566403	560767
402	568016	559560
403	569739	558457
404	571208	557104
405	572815	555884
